127.0.0.1 - - [24/Feb/2020:16:42:38 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:42:39 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:43:09 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:43:52 +0530] "GET /JSPExamples/Page.jsp?uname=Aparna&age=21 HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:44:54 +0530] "GET /JSPExamples/Page.jsp?uname=Aparna&age=21 HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:44:55 +0530] "GET /JSPExamples/Page.jsp?uname=Aparna&age=21 HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:45:00 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:45:05 +0530] "GET /JSPExamples/Movie.jsp?uname=Aparna&age=21 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:45:33 +0530] "GET /JSPExamples/Movie.jsp?uname=Aparna&age=21 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:46:22 +0530] "GET /JSPExamples/Movie.jsp?uname=Sri+Hari+Rao&age=84 HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:46:40 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [24/Feb/2020:16:47:07 +0530] "GET /JSPExamples/Movie.jsp?uname=Jayansh&age=1 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:07:50 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:07:59 +0530] "GET /JSPExamples/Movie.jsp?uname=Swaroop&age=22 HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:08:13 +0530] "GET /JSPExamples/MovieIndex.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:09:15 +0530] "GET /JSPExamples/Movie.jsp?uname=Swaroop&age=22 HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:09:40 +0530] "GET /JSPExamples/Movie.jsp?uname=Swaroop&age=22 HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:10:04 +0530] "GET /JSPExamples/Movie.jsp?uname=Sai&age=87 HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/Feb/2020:17:10:49 +0530] "GET /JSPExamples/Movie.jsp?uname=Arnav&age=2 HTTP/1.1" 200 328
