127.0.0.1 - - [02/Mar/2020:16:40:54 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:40:55 +0530] "GET /Training/Main.html HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:45:26 +0530] "GET /Training/Main.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:46:32 +0530] "GET /Training/Main.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:46:37 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:46:37 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:48:58 +0530] "GET /Training/Main.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:49:26 +0530] "GET /Training/Main.html HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:11 +0530] "GET /Training/Main.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:11 +0530] "GET /Training/home.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:11 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:11 +0530] "GET /Training/top.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:36 +0530] "GET /Training/Main.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:36 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:36 +0530] "GET /Training/home.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:36 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:03:08 +0530] "GET /Training/Main.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:03:08 +0530] "GET /Training/top.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:03:08 +0530] "GET /Training/left.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:03:08 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:05 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:05 +0530] "GET /Training/top.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:05 +0530] "GET /Training/left.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:05 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:06 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:06 +0530] "GET /Training/top.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:06 +0530] "GET /Training/left.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:06 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:06:07 +0530] "GET /Training/top.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:26 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
